Key,Source,Context,Changes,English
toolCookingPot, items, Tools, "", "Clay Cooking Pot"
toolCookingPotDesc, items, Tools, "", "A clay pot you asshat, you can't do much..."
toolCookingPot, recipe, Food, "", "Clay Cooking Pot"
toolCookingPotDesc, recipe, Food, "", "A clay pot you asshat, you can't do much..."
toolCookingGrill, items, Tools, "", "Wooden Cooking Grill"
toolCookingGrillDesc, items, Tools, "", "HOW DOES THIS WORK!?"
meleeToolPickaxeIron, items, Tools, "", "Stone Pickaxe"
meleeToolPickaxeIronDesc, item, Tools, "", "Hey! You learned how to make something useful... but incredibly inefficient with resources..."
meleeToolPickaxeSteel, item, Tools, "", "Scrap Iron Axe"
meleeToolPickaxeSteelDesc, item, Tools, "", "Finally you have entered the... scrap iron age..."
meleeToolShovelIron, items, Tools, "", "Stone Shovel (Improved)"
meleeToolShovelIronDesc, items, Tools, "", "Hey! You learned how to make something useful... but incredibly inefficient with resources..."
meleeToolShovelSteel, items, Tools, "", "Scrap Iron Shovel"
meleeToolShovelSteelDesc, items, Tools, "", "Finally you have entered the... scrap iron age..."
meleeToolFireaxeIron, items, Tools, "", "Stone Axe (Improved)"
meleeToolFireaxeIronDesc, items, Tools, "", "Hey! You learned how to make something useful... but incredibly inefficient with resources..."
meleeToolFireaxeSteel, items, Tools, "", "Scrap Iron Axe"
meleeToolFireaxeSteelDesc, items, Tools, "", "Finally you have entered the... scrap iron age..."
meleeKnucklesIron, item, Melee, "", "Stone Knuckles"
meleeKnucklesIronDesc, item, Melee, "", "Stone Knuckles"
meleeKnucklesSteel, item, Melee, "", "Scrap Iron Knuckles"
meleeKnucklesSteelDesc, item, Melee, "", "Scrap Iron Knuckles"
meleeThrownSpearIron, item, Melee, "", "Stone Spear (Improved)"
meleeThrownSpearIronDesc, item, Melee, "", "Stone Spear (Improved)"
meleeThrownSpearSteel, item, Melee, "", "Scrap Iron Spear"
meleeThrownSpearSteelDesc, item, Melee, "", "Scrap Iron Spear"
ammoArrowIron, item, Ammo, "", "Scrap Iron Arrow"
ammoArrowIronDesc, item, Ammo, "", "Scrap Iron Arrow"
ammoArrowSteelAP, item, Ammo, "", "Scrap Iron Arrow (Improved)"
ammoArrowSteelAPDesc, item, Ammo, "", "Scrap Iron Arrow (Improved)"
meleeToolKnifeIron, item, Melee, "", "Scrap Iron Knife"
meleeToolKnifeIronDesc, item, Melee, "", "Scrap Iron Knife"
